key	en_us	zh_cn	zh_hk	zh_tw	lzh	ja_jp	ko_kr	vi_vn
advancements.adventure.adventuring_time.title	Adventuring Time	探索的时光	探險時光	探險時光	跋山涉水	冒険の時間	모험의 시간	Giờ phiêu lưu
advancements.adventure.arbalistic.title	Arbalistic	劲弩手	重弩手	重弩手	一矢五穿	クロスボウの達人	명사수	Tay nỏ cừ khôi
advancements.adventure.avoid_vibration.title	Sneak 100	潜行100级	潛行力 100	潛行力 100	匿影捷步	スニーク100	은밀하게 위대하게	Rón rén 100
advancements.adventure.blowback.title	Blowback	逆风翻盘	針「風」相對	逆風翻盤	逆風而舉	逆風	역풍	Kiếm đánh xuôi, cầu thổi ngược
advancements.adventure.brush_armadillo.title	Isn't It Scute?	这不是鳞甲么？	呢個就係鱗甲？	莫非這是鱗甲？	楚楚可鱗	可鱗でしょう？	이게 인갑인갑다	Tatu có ngoan không nè?
advancements.adventure.bullseye.title	Bullseye	正中靶心	精準命中	正中紅心	高中紅心	的中	명중	Trúng ngay hồng tâm!
advancements.adventure.craft_decorated_pot_using_only_sherds.title	Careful Restoration	精修细补	精修細補	精修細補	內修外華	丁寧な修復作業	세심한 복원	Phục chế cẩn thận
advancements.adventure.crafters_crafting_crafters.title	Crafters Crafting Crafters	合成器合成合成器	合成器合成合成器	合成器合成合成器	還製其身	自動作業台製自動作業台	제작기 제 자신 제작기	Máy chế tạo chế tạo máy chế tạo
advancements.adventure.fall_from_world_height.title	Caves & Cliffs	上天入地	上天入地	洞穴與山崖	上天入地	洞窟と崖	동굴과 절벽	Hang động & vách đá
advancements.adventure.hero_of_the_village.title	Hero of the Village	村庄英雄	村莊英雄	村莊英雄	鄉里英傑	村の英雄	마을의 영웅	Người hùng của ngôi làng
advancements.adventure.honey_block_slide.title	Sticky Situation	胶着状态	黐𥹉𥹉狀態	陷入膠著	黏吝繳繞	べとべとな状況	달콤함에 몸을 맡기다	Tình huống nhớp nháp
advancements.adventure.kill_a_mob.title	Monster Hunter	怪物猎人	怪物獵人	魔物獵人	小試牛刀	モンスターハンター	몬스터 사냥꾼	Thợ săn quái vật
advancements.adventure.kill_all_mobs.title	Monsters Hunted	资深怪物猎人	怪物獵人大師	獵取怪物	天下無敵手	モンスター狩りの達人	몬스터 도감	Quái vật bị săn đuổi
advancements.adventure.kill_mob_near_sculk_catalyst.title	It Spreads	它蔓延了	佢蔓延咗	它蔓延了	蠶食鯨吞	「それ」は侵食する	퍼져간다	Nó lan ra
advancements.adventure.lighten_up.title	Lighten Up	铜光焕发	「銅」光煥發	銅光煥發	銅光煥發	明るくなーれ	불 좀 켜 줄래?	Sáng lên nào
advancements.adventure.lightning_rod_with_villager_no_fire.title	Surge Protector	电涌保护器	突波保護裝置	突波保護器	驅雷掣電	危機一髪	번개 멈춰!	Thiết bị chống sốc điện
advancements.adventure.minecraft_trials_edition.title	Minecraft: Trial(s) Edition	Minecraft：试炼版	Minecraft：試煉版	Minecraft: 試煉版	礦藝：煉武版	Minecraft: トライアル版	인생은 시련의 연속	Minecraft: Bản thử thách
advancements.adventure.ol_betsy.title	Ol' Betsy	扣下悬刀	扣下扳機	扣下扳機	一觸即發	おてんば	부러진 화살	Nỏ liên châu
advancements.adventure.overoverkill.title	Over-Overkill	天赐良击	揼到七彩	天賜良擊	痛貫天靈	超・やり過ぎ	하늘에서 철퇴가 내린다면	Thảm sát
advancements.adventure.play_jukebox_in_meadows.title	Sound of Music	音乐之声	仙樂飄飄處處聞	真善美	此曲衹應天上有	サウンド・オブ・ミュージック	사운드 오브 뮤직	Giai điệu hạnh phúc
advancements.adventure.read_power_from_chiseled_bookshelf.title	The Power of Books	知识就是力量	開卷有益	知書就是力量	學富五櫥	本は力なり	책의 힘	Sức mạnh của những quyển sách
advancements.adventure.revaulting.title	Revaulting	宝经磨炼	逢凶化吉	逢凶化吉	礪煉呈華	怪錠	불길에 뛰어드는 나	Lại mở hòm báu
advancements.adventure.root.title	Adventure	冒险	冒險	冒險	歷險	冒険	모험	Phiêu lưu
advancements.adventure.salvage_sherd.title	Respecting the Remnants	探古寻源	探古尋源	探古尋源	零珠斷璧	文明の面影に敬意を	소중한 잔해	Tôn trọng những tàn tích
advancements.adventure.shoot_arrow.title	Take Aim	瞄准目标	瞄準目標	瞄準	審顧挽弦	狙いを定めて	정조준	Nhắm mục tiêu
advancements.adventure.sleep_in_bed.title	Sweet Dreams	甜蜜的梦	甜蜜夢鄉	甜美的夢	高枕無憂	良い夢見てね	달콤한 꿈	Giấc ngủ ngon
advancements.adventure.sniper_duel.title	Sniper Duel	狙击手的对决	狙擊手對決	狙擊手對決	佻身飛鏃	スナイパー対決	저격 대결	Xạ thủ tay đôi
advancements.adventure.spyglass_at_dragon.title	Is It a Plane?	那是飞机吗？	好似係架飛機？	那是飛機嗎？	其鵬乎？	あれは飛行機？	비행기인가?	Kia là máy bay à?
advancements.adventure.spyglass_at_ghast.title	Is It a Balloon?	那是气球吗？	好似係個氣球？	那是氣球嗎？	其孔明燈乎？	あれは風船？	풍선인가?	Kia là bóng bay à?
advancements.adventure.spyglass_at_parrot.title	Is It a Bird?	那是鸟吗？	好似係隻雀？	那是鳥嗎？	其鳥乎？	あれは鳥？	새인가?	Kia là con chim à?
advancements.adventure.summon_iron_golem.title	Hired Help	招募援兵	招兵買馬	招兵買馬	招兵買馬	お手伝いさん	도우미 고용	Thuê người giúp đỡ
advancements.adventure.throw_trident.title	A Throwaway Joke	抖包袱	掟個笑話畀你聽	免洗笑話	千金一擲	もったいぶった一言	준비하시고... 쏘세요!	Trò đùa vô hại
advancements.adventure.totem_of_undying.title	Postmortal	超越生死	超越生死	超越生死	起死回生	死を超えて	죽음을 초월한 자	Hậu sinh tử
advancements.adventure.trade_at_world_height.title	Star Trader	星际商人	星級商人	星際貿易	九霄商賈	星の商人	최고의 거래	Thương nhân ngôi sao
advancements.adventure.trade.title	What a Deal!	成交！	單生意幾着數喎！	成交！	市不二價	良い取引だ！	훌륭한 거래군요!	Kèo thơm là đây!
advancements.adventure.trim_with_all_exclusive_armor_patterns.title	Smithing with Style	匠心独具	獨具一格	匠心獨具	珠圍翠繞	オシャレな鍛冶職人	형판 좋은 대장장이	Rèn phải có phong cách
advancements.adventure.trim_with_any_armor_pattern.title	Crafting a New Look	旧貌锻新颜	搞搞新花臣	鍛然一新	妝點一新	おニューの衣装	유행의 선도자	Biến tấu vẻ ngoài
advancements.adventure.two_birds_one_arrow.title	Two Birds, One Arrow	一箭双雕	一箭雙雕	一箭雙鵰	一箭雙鵰	一石二鳥	일전쌍조	Một mũi tên trúng hai đích
advancements.adventure.under_lock_and_key.title	Under Lock and Key	珍藏密敛	鎖藏珍寶	妥善保管	金繩玉鎖	錠と鍵に隠されしもの	열쇠로 잠금 해제	Báu vật trong hòm khoá
advancements.adventure.use_lodestone.title	Country Lode, Take Me Home	天涯共此石	針尖指，遊子思	天涯共此石	天涯共此石	この道をずっとゆけば	집으로 이끌려가네	Ơi! Nam châm quê, nam châm quê
advancements.adventure.very_very_frightening.title	Very Very Frightening	魔女审判	天打雷劈	非常驚世駭俗	一震之威	とてもとても恐ろしい	동에 번쩍 서에 번쩍	Rất rất kinh khủng
advancements.adventure.voluntary_exile.title	Voluntary Exile	自我放逐	自我放逐	自我放逐	禍不單行	自主的な亡命	자진 유배	Tình nguyện bị lưu đày
advancements.adventure.walk_on_powder_snow_with_leather_boots.title	Light as a Rabbit	轻功雪上飘	輕功雪上飄	輕功雪上飄	履雪無痕	ウサギのように軽く	토끼처럼 가볍게	Nhẹ tựa lông hồng
advancements.adventure.who_needs_rockets.title	Who Needs Rockets?	还要啥火箭啊？	使乜要火箭？	誰還需要火箭？	扶搖直上	ロケットいらず	누가 로켓이 필요하대?	Ai cần tên lửa?
advancements.adventure.whos_the_pillager_now.title	Who's the Pillager Now?	现在谁才是掠夺者？	乜嘢叫風水輪流轉？	現在誰才是掠奪者？	風水輪流轉	どっちが略奪者？	이제 누가 약탈자지?	Giờ ai mới là kẻ cướp đây?
advancements.end.dragon_breath.title	You Need a Mint	你需要来点薄荷糖	你需要飲碗涼茶	你需要降火氣	君須涼茶	口臭に気をつけよう	양치질이 필요해 보이는걸	Bạn cần một cây bạc hà
